id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__norank_f__Anaerolineaceae	g__norank_f__Anaerolineaceae	1.57730599114178	g__norank_f__Anaerolineaceae	0.7028	red	-0.183	-0.73	-0.176	-0.203	-0.142	0.357	0.137	-0.353	0.562	-0.0102
g__norank_f__B1-7BS	g__norank_f__B1-7BS	1.00688108057419	g__norank_f__B1-7BS	0.404	red	0.0669	-0.568	0.0331	-0.258	-0.296	0.369	0.0588	-0.347	0.181	-0.277
g__norank_f__Methylomonadaceae	g__norank_f__Methylomonadaceae	1.45190774970034	g__norank_f__Methylomonadaceae	0.4032	red	-0.083	-0.263	-0.0486	-0.156	-0.128	0.174	0.108	-0.171	0.09	-0.229
g__norank_f__Sphingobacteriaceae	g__norank_f__Sphingobacteriaceae	3.7523359489405697	g__norank_f__Sphingobacteriaceae	0.7345	red	-0.211	-0.745	-0.0387	-0.37	-0.366	0.455	0.0782	-0.282	0.522	-0.126
g__norank_f__Sporichthyaceae	g__norank_f__Sporichthyaceae	3.1302292024934	g__norank_f__Sporichthyaceae	0.6946	red	-0.346	-0.587	-0.22	-0.24	-0.246	0.354	0.18	-0.292	0.439	-0.11
g__norank_o__211ds20	g__norank_o__211ds20	2.4933174070249904	g__norank_o__211ds20	0.761	red	-0.234	-0.86	-0.071	-0.452	-0.44	0.47	0.118	-0.454	0.471	-0.35
g__norank_o__Gaiellales	g__norank_o__Gaiellales	0.27607632462295	g__norank_o__Gaiellales	0.3813	red	0.124	-0.447	-0.0831	-0.104	-0.256	0.201	-0.0007	-0.0539	0.29	-0.28
g__Nothophytophthora	g__Nothophytophthora	0.293024864064527	g__Nothophytophthora	0.4131	red	-0.376	-0.339	-0.178	-0.347	-0.26	0.175	0.29	-0.28	0.468	-0.0562
g__Ochthebius	g__Ochthebius	0.38252145372410296	g__Ochthebius	0.3057	red	-0.393	-0.253	-0.0744	-0.342	-0.327	-0.0	-0.114	-0.0297	0.391	-0.0011
g__Oestophora	g__Oestophora	0.7917922253614359	g__Oestophora	0.5448	red	-0.112	-0.566	-0.0356	-0.364	-0.295	0.302	-0.0896	-0.248	0.256	-0.362
g__Oikopleura	g__Oikopleura	0.984067407901295	g__Oikopleura	0.4798	red	0.0962	-0.587	-0.11	-0.122	-0.185	0.344	0.254	-0.326	0.217	-0.374
g__Orthopyxis	g__Orthopyxis	0.5850537162077409	g__Orthopyxis	0.4899	red	-0.237	-0.427	-0.0454	-0.374	-0.384	0.255	0.258	-0.442	0.421	-0.0396
g__Parhydraena	g__Parhydraena	5.108461572426441	g__Parhydraena	0.6153	red	0.0157	-0.569	-0.0212	-0.163	-0.287	0.34	0.0472	-0.264	0.205	-0.275
g__Parougia	g__Parougia	3.1269962972221803	g__Parougia	0.513	red	-0.309	-0.479	-0.0741	-0.312	-0.246	0.294	0.104	-0.28	0.506	0.0604
g__Pedobacter	g__Pedobacter	1.85100202672082	g__Pedobacter	0.6926	red	-0.194	-0.631	-0.103	-0.342	-0.367	0.354	0.132	-0.423	0.438	-0.4
g__Pelagia	g__Pelagia	1.20627355050658	g__Pelagia	0.5862	red	0.0457	-0.657	0.0225	-0.281	-0.316	0.399	0.248	-0.442	0.396	-0.327
g__Pelosoma	g__Pelosoma	2.86009954656134	g__Pelosoma	0.6749	red	-0.371	-0.621	-0.102	-0.429	-0.359	0.395	0.129	-0.338	0.537	-0.137
g__Peronospora	g__Peronospora	0.639949256511034	g__Peronospora	0.5987	red	-0.417	-0.42	-0.179	-0.49	-0.452	0.447	0.338	-0.589	0.521	-0.091
g__Phellinus	g__Phellinus	4.4254076870129	g__Phellinus	0.6886	red	-0.118	-0.672	-0.0613	-0.301	-0.365	0.535	0.268	-0.413	0.398	-0.258
g__Physophora	g__Physophora	2.3716534841271697	g__Physophora	0.6038	red	-0.0661	-0.628	-0.0762	-0.306	-0.402	0.327	0.0869	-0.335	0.301	-0.273
