id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Exiligada	g__Exiligada	1.13611009840281	g__Exiligada	0.4842	magenta	-0.174	0.197	-0.004	-0.132	-0.121	-0.0212	-0.0269	-0.0726	-0.0734	0.323
g__Flaviaesturariibacter	g__Flaviaesturariibacter	0.258034708104822	g__Flaviaesturariibacter	0.34	magenta	-0.0825	0.115	0.004	-0.142	-0.101	-0.0782	-0.0959	-0.0634	-0.0406	-0.016
g__Fusibacter	g__Fusibacter	7.640827576862151	g__Fusibacter	0.6616	magenta	0.0376	0.0589	-0.0343	0.0616	0.0968	0.0342	-0.0793	0.0108	0.0886	0.0911
g__Gongolaria	g__Gongolaria	0.36592638826848	g__Gongolaria	0.3405	magenta	0.18	0.14	-0.0468	0.0065	-0.0094	-0.194	-0.0489	0.0315	-0.0054	0.101
g__Halecium	g__Halecium	4.6366194296946395	g__Halecium	0.5973	magenta	0.13	0.0407	-0.0319	0.181	0.222	-0.0618	0.0482	0.0642	-0.0457	-0.0721
g__Haloplegma	g__Haloplegma	12.2356619212144	g__Haloplegma	0.7387	magenta	0.0437	0.179	-0.0175	-0.0347	-0.0852	-0.235	-0.0663	-0.0683	0.028	-0.131
g__Helicotheca	g__Helicotheca	3.5891983733522896	g__Helicotheca	0.5999	magenta	-0.11	-0.203	-0.0158	-0.241	-0.173	0.164	-0.0168	-0.159	-0.0503	-0.166
g__Heterostelium	g__Heterostelium	16.7843048355209	g__Heterostelium	0.779	magenta	-0.1	0.12	-0.0343	-0.0355	-0.0599	-0.104	0.0409	-0.0902	-0.0548	0.0911
g__Hincksia	g__Hincksia	0.0769634867200761	g__Hincksia	0.3068	magenta	0.119	-0.24	-0.0488	-0.0491	-0.0946	0.184	0.0056	-0.0889	-0.0467	-0.0944
g__Hydrosmittia	g__Hydrosmittia	8.99731183350503	g__Hydrosmittia	0.7	magenta	0.275	0.0773	-0.0329	0.0227	0.0057	-0.201	-0.0662	0.0763	-0.0139	-0.0721
g__Leptarma	g__Leptarma	2.94742881321373	g__Leptarma	0.5792	magenta	-0.0744	0.319	-0.0726	-0.0275	-0.116	0.248	0.25	-0.0234	-0.179	-0.109
g__Ligia	g__Ligia	4.56157750967663	g__Ligia	0.6281	magenta	-0.136	0.0944	-0.0396	-0.0036	-0.0301	0.0206	-0.0134	-0.0992	-0.0135	0.341
g__Microplana	g__Microplana	3.14407011070104	g__Microplana	0.5857	magenta	0.0064	-0.237	-0.0049	-0.0816	-0.115	0.204	0.0469	-0.11	0.129	0.0913
g__Nannarrup	g__Nannarrup	0.7268664779004109	g__Nannarrup	0.4569	magenta	0.136	-0.436	0.0375	-0.0641	-0.208	0.345	0.265	-0.159	0.223	-0.0773
