id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Newhousia	g__Newhousia	0.487796010461445	g__Newhousia	0.3767	turquoise	-0.284	0.0284	-0.115	-0.257	-0.213	-0.235	-0.126	-0.085	0.238	0.123
g__Niphargus	g__Niphargus	0.240823205616812	g__Niphargus	0.3057	turquoise	-0.192	0.484	-0.0366	-0.128	-0.153	-0.177	-0.0934	0.0966	-0.318	0.0848
g__norank_c__bacteriap25	g__norank_c__bacteriap25	0.336411976079351	g__norank_c__bacteriap25	0.327	turquoise	0.158	-0.417	0.111	-0.0671	-0.123	0.253	0.0618	-0.179	0.141	-0.203
g__norank_c__Gitt-GS-136	g__norank_c__Gitt-GS-136	6.9019744808680406	g__norank_c__Gitt-GS-136	0.6979	turquoise	-0.0419	-0.15	-0.0524	0.0315	0.117	0.0164	-0.331	0.294	-0.0847	0.024
g__norank_c__Kazania	g__norank_c__Kazania	0.4111947302983329	g__norank_c__Kazania	0.3636	turquoise	0.129	0.121	0.646	-0.0027	0.0728	-0.192	-0.186	0.0079	-0.0343	-0.0078
g__norank_c__KD4-96	g__norank_c__KD4-96	0.31422779362070397	g__norank_c__KD4-96	0.3425	turquoise	0.111	-0.146	0.0032	0.0427	-0.0448	0.0722	0.0957	-0.134	0.113	-0.249
g__norank_c__OLB14	g__norank_c__OLB14	1.4993748662488502	g__norank_c__OLB14	0.5194	turquoise	0.43	0.336	0.301	0.0273	0.0138	-0.282	-0.296	0.0106	-0.188	-0.0279
g__norank_c__Parcubacteria	g__norank_c__Parcubacteria	0.356738046945564	g__norank_c__Parcubacteria	0.3658	turquoise	0.478	0.0833	-0.0872	0.0717	0.0101	-0.106	-0.159	-0.0055	-0.114	-0.145
g__norank_c__Subgroup_18	g__norank_c__Subgroup_18	0.613007784370349	g__norank_c__Subgroup_18	0.3834	turquoise	0.28	0.0511	-0.0596	0.0268	0.0753	-0.242	-0.156	0.103	-0.0829	-0.0978
g__norank_c__Subgroup_22	g__norank_c__Subgroup_22	13.1144343197379	g__norank_c__Subgroup_22	0.8412	turquoise	-0.0337	-0.0996	-0.0489	-0.116	0.0005	-0.0497	0.0461	-0.101	0.119	-0.108
g__norank_c__Thermodesulfovibrionia	g__norank_c__Thermodesulfovibrionia	0.671296691798769	g__norank_c__Thermodesulfovibrionia	0.4598	turquoise	0.0142	-0.229	-0.133	0.036	0.0845	0.109	0.0907	-0.01	0.189	0.0364
g__norank_c__TSAC18	g__norank_c__TSAC18	2.36772833386464	g__norank_c__TSAC18	0.5148	turquoise	0.0928	0.0663	-0.0306	0.127	0.353	-0.016	0.0322	0.0468	-0.0231	0.156
g__norank_f__37-13	g__norank_f__37-13	10.953744923203402	g__norank_f__37-13	0.7805	turquoise	0.33	0.158	0.201	0.114	0.174	-0.124	-0.0828	0.0206	-0.0891	-0.0638
g__norank_f__A0839	g__norank_f__A0839	3.5987319410479106	g__norank_f__A0839	0.6606	turquoise	0.0176	0.269	0.057	0.0513	0.125	-0.113	0.0625	-0.131	0.0408	0.102
g__norank_f__Bacteroidetes_vadinHA17	g__norank_f__Bacteroidetes_vadinHA17	1.4296434632320902	g__norank_f__Bacteroidetes_vadinHA17	0.5002	turquoise	0.133	0.199	0.022	0.451	0.683	-0.143	0.165	0.122	0.0321	0.477
g__norank_f__BIrii41	g__norank_f__BIrii41	6.40397136588535	g__norank_f__BIrii41	0.708	turquoise	0.0767	0.123	0.545	0.0083	0.134	-0.133	-0.257	0.0898	-0.273	-0.0415
g__norank_f__Blastocatellaceae	g__norank_f__Blastocatellaceae	2.8160001496458	g__norank_f__Blastocatellaceae	0.6	turquoise	0.173	0.181	-0.0385	-0.0247	0.0836	-0.251	-0.0975	0.0103	-0.0291	-0.0849
g__norank_f__Caldilineaceae	g__norank_f__Caldilineaceae	1.18151046674755	g__norank_f__Caldilineaceae	0.3377	turquoise	0.587	0.268	0.243	0.415	0.449	-0.355	-0.198	0.304	-0.354	-0.0697
g__norank_f__Comamonadaceae	g__norank_f__Comamonadaceae	0.8220385617039271	g__norank_f__Comamonadaceae	0.3735	turquoise	0.307	0.482	0.172	0.103	0.078	-0.0037	0.129	0.131	-0.39	-0.253
g__norank_f__Geobacteraceae	g__norank_f__Geobacteraceae	9.164680222548471	g__norank_f__Geobacteraceae	0.7774	turquoise	-0.0417	0.17	-0.0633	0.0529	0.162	-0.0442	-0.002	-0.0574	-0.0206	0.438
g__norank_f__Hungateiclostridiaceae	g__norank_f__Hungateiclostridiaceae	7.517431409782589	g__norank_f__Hungateiclostridiaceae	0.7175	turquoise	0.207	0.176	-0.0375	0.0045	0.0661	-0.132	-0.0991	0.0411	-0.0255	0.157
g__norank_f__Hydrogenophilaceae	g__norank_f__Hydrogenophilaceae	6.99287161875758	g__norank_f__Hydrogenophilaceae	0.722	turquoise	0.391	0.201	0.202	0.131	0.236	-0.143	-0.124	0.0643	-0.221	-0.0776
g__norank_f__KD3-93	g__norank_f__KD3-93	2.28171164877176	g__norank_f__KD3-93	0.5379	turquoise	0.27	0.121	-0.0275	0.0601	-0.0983	0.0727	0.0236	-0.0627	-0.031	-0.0068
g__norank_f__Lentimicrobiaceae	g__norank_f__Lentimicrobiaceae	0.9421120473535909	g__norank_f__Lentimicrobiaceae	0.3687	turquoise	0.186	0.0913	-0.0676	0.513	0.703	-0.105	0.0349	0.247	-0.0415	0.245
g__norank_f__LWQ8	g__norank_f__LWQ8	7.14914441764244	g__norank_f__LWQ8	0.7433	turquoise	0.0898	0.214	-0.0706	-0.0249	-0.0162	0.0018	0.0517	-0.125	-0.0622	-0.172
g__norank_f__Methylacidiphilaceae	g__norank_f__Methylacidiphilaceae	1.7017142663848202	g__norank_f__Methylacidiphilaceae	0.3219	turquoise	0.327	0.694	0.167	0.282	0.308	-0.286	-0.0319	0.233	-0.485	-0.0086
g__norank_f__Methyloligellaceae	g__norank_f__Methyloligellaceae	3.8177918257181203	g__norank_f__Methyloligellaceae	0.6521	turquoise	0.181	-0.067	-0.0691	-0.025	0.11	-0.127	-0.0698	0.124	0.0955	0.0269
g__norank_f__Moraxellaceae	g__norank_f__Moraxellaceae	8.55268601340048	g__norank_f__Moraxellaceae	0.7693	turquoise	0.205	0.295	0.243	0.0729	0.0911	-0.206	-0.15	0.0011	-0.183	-0.0485
g__norank_f__MWH-UniP1_aquatic_group	g__norank_f__MWH-UniP1_aquatic_group	1.04860300118965	g__norank_f__MWH-UniP1_aquatic_group	0.3661	turquoise	-0.0162	0.558	0.0235	0.204	0.204	-0.27	-0.178	0.206	-0.278	0.19
g__norank_f__Myxococcaceae	g__norank_f__Myxococcaceae	1.1540928359195302	g__norank_f__Myxococcaceae	0.5115	turquoise	0.172	0.222	-0.0639	0.171	0.249	-0.167	-0.107	0.11	-0.286	0.2
g__norank_f__Obscuribacteraceae	g__norank_f__Obscuribacteraceae	0.946282298483314	g__norank_f__Obscuribacteraceae	0.403	turquoise	0.428	0.156	-0.0713	0.207	0.405	-0.146	-0.122	0.0842	-0.094	0.0724
g__norank_f__PHOS-HE36	g__norank_f__PHOS-HE36	2.86985332780654	g__norank_f__PHOS-HE36	0.5849	turquoise	0.115	0.177	0.16	0.127	0.29	-0.134	0.0319	-0.0856	-0.0409	0.133
g__norank_f__Reyranellaceae	g__norank_f__Reyranellaceae	0.9830760808562191	g__norank_f__Reyranellaceae	0.505	turquoise	-0.0864	0.099	-0.102	-0.13	-0.082	-0.0127	-0.0189	-0.119	0.073	-0.0236
g__norank_f__Rhizobiaceae	g__norank_f__Rhizobiaceae	9.725173967182	g__norank_f__Rhizobiaceae	0.7498	turquoise	0.139	0.0955	-0.0491	0.0316	0.162	-0.048	-0.123	0.0266	0.0381	0.0845
g__norank_f__Rhodanobacteraceae	g__norank_f__Rhodanobacteraceae	6.02491853311161	g__norank_f__Rhodanobacteraceae	0.689	turquoise	0.155	0.0375	0.425	0.136	0.149	0.0069	0.177	-0.061	0.0869	0.0499
g__norank_f__Roseiflexaceae	g__norank_f__Roseiflexaceae	1.52776879995129	g__norank_f__Roseiflexaceae	0.3408	turquoise	0.136	0.562	0.0243	0.16	0.187	-0.276	-0.0331	0.238	-0.292	0.135
g__norank_f__Sandaracinaceae	g__norank_f__Sandaracinaceae	10.5766587558126	g__norank_f__Sandaracinaceae	0.7995	turquoise	0.007	0.076	0.182	-0.063	0.156	-0.0963	-0.0662	-0.0379	-0.119	0.034
g__norank_f__Saprospiraceae	g__norank_f__Saprospiraceae	2.8843368160253195	g__norank_f__Saprospiraceae	0.4954	turquoise	0.332	0.645	0.122	0.337	0.327	-0.316	-0.0444	0.374	-0.47	0.0326
g__norank_f__SC-I-84	g__norank_f__SC-I-84	4.70734096274406	g__norank_f__SC-I-84	0.6953	turquoise	0.127	0.179	0.0377	0.128	0.198	-0.213	-0.13	0.0476	-0.0591	0.0935
g__norank_f__Steroidobacteraceae	g__norank_f__Steroidobacteraceae	0.9780485158414369	g__norank_f__Steroidobacteraceae	0.5017	turquoise	-0.114	0.179	-0.0539	-0.0199	0.183	-0.128	0.0831	-0.0632	0.144	0.213
g__norank_f__Sutterellaceae	g__norank_f__Sutterellaceae	1.83017158643565	g__norank_f__Sutterellaceae	0.5771	turquoise	0.0515	0.0927	-0.116	0.124	0.258	-0.26	0.0774	0.101	0.0475	0.025
g__norank_f__Vermiphilaceae	g__norank_f__Vermiphilaceae	0.7143631047949991	g__norank_f__Vermiphilaceae	0.3367	turquoise	0.545	0.303	0.282	0.224	0.226	-0.279	-0.277	0.148	-0.152	0.0491
g__norank_f__Verrucomicrobiaceae	g__norank_f__Verrucomicrobiaceae	1.13219303189422	g__norank_f__Verrucomicrobiaceae	0.5051	turquoise	-0.0906	-0.282	-0.115	-0.247	-0.117	0.128	0.0562	0.0139	0.0102	-0.149
g__norank_f__WX65	g__norank_f__WX65	9.16534428439173	g__norank_f__WX65	0.7207	turquoise	0.16	0.0751	-0.0343	-0.019	0.131	-0.104	-0.093	0.0268	-0.038	0.0258
g__norank_o__Actinomarinales	g__norank_o__Actinomarinales	12.094961086826197	g__norank_o__Actinomarinales	0.7994	turquoise	0.141	0.0831	-0.0433	0.0067	0.142	-0.0886	-0.164	0.118	-0.259	-0.0109
g__norank_o__Azospirillales	g__norank_o__Azospirillales	9.374913079913052	g__norank_o__Azospirillales	0.7768	turquoise	0.16	0.0751	-0.0343	-0.019	0.131	-0.104	-0.093	0.0268	-0.038	0.0258
g__norank_o__Babeliales	g__norank_o__Babeliales	1.3224173102931	g__norank_o__Babeliales	0.3299	turquoise	0.357	0.516	0.0531	0.31	0.231	-0.0879	0.156	0.231	-0.358	-0.116
g__norank_o__Blfdi19	g__norank_o__Blfdi19	2.69760574897406	g__norank_o__Blfdi19	0.611	turquoise	0.14	0.443	0.207	0.0821	0.0237	0.0542	0.12	-0.0062	-0.238	0.0085
g__norank_o__Candidatus_Kaiserbacteria	g__norank_o__Candidatus_Kaiserbacteria	0.332618235325942	g__norank_o__Candidatus_Kaiserbacteria	0.3652	turquoise	0.126	0.23	0.21	0.339	0.243	0.0758	0.156	0.0779	-0.217	-0.0889
