id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Herpetosiphon	g__Herpetosiphon	22.3301381355278	g__Herpetosiphon	0.7841	brown	-0.0524	0.277	0.0385	-0.0696	-0.111	-0.0111	-0.109	0.0929	-0.207	0.182
g__Himanthalia	g__Himanthalia	2.44502290022112	g__Himanthalia	0.5419	brown	-0.11	-0.0704	-0.0375	-0.0984	-0.135	0.156	0.147	-0.176	0.103	0.128
g__Kappaphycus	g__Kappaphycus	5.9095699721464	g__Kappaphycus	0.6153	brown	-0.086	0.136	-0.0429	0.0271	-0.0041	0.0156	-0.0233	-0.102	0.0277	0.325
g__Klebsiella	g__Klebsiella	2.00084070754924	g__Klebsiella	0.4973	brown	0.214	0.189	0.32	-0.0094	0.0098	-0.132	-0.143	-0.0812	-0.0674	-0.106
g__Laevapex	g__Laevapex	2.6249703858631097	g__Laevapex	0.5569	brown	-0.135	0.171	-0.0448	-0.0416	-0.0517	-0.141	0.0468	-0.108	-0.0655	0.0478
g__Leptolyngbya_ANT.L52.2	g__Leptolyngbya_ANT.L52.2	5.735155560970111	g__Leptolyngbya_ANT.L52.2	0.6199	brown	0.141	0.152	0.732	0.0351	-0.0401	-0.0398	-0.127	-0.0753	-0.0372	-0.0347
g__Leptospira	g__Leptospira	1.32850731970342	g__Leptospira	0.4423	brown	-0.172	0.325	-0.0536	-0.0627	-0.0654	-0.185	-0.0362	-0.0757	-0.0611	0.485
g__Lozekia	g__Lozekia	6.39749059565282	g__Lozekia	0.6454	brown	-0.273	0.188	-0.0573	-0.0837	-0.0263	-0.0405	0.14	-0.145	0.046	0.462
g__Lychnorhiza	g__Lychnorhiza	1.64109565016166	g__Lychnorhiza	0.4619	brown	-0.371	0.223	-0.0607	-0.136	-0.122	-0.188	-0.159	0.0863	-0.0346	0.451
g__Macromia	g__Macromia	0.23833531600691799	g__Macromia	0.3379	brown	0.157	0.254	-0.0866	-0.0131	-0.0686	-0.12	-0.0124	0.0041	-0.261	-0.0603
g__Marmoricola	g__Marmoricola	6.86329310866679	g__Marmoricola	0.6471	brown	-0.0559	0.203	-0.0321	0.0152	-0.0942	0.211	0.199	-0.048	-0.109	-0.124
g__Mazzaella	g__Mazzaella	3.40122468584027	g__Mazzaella	0.5284	brown	-0.152	0.108	-0.0321	-0.0324	-0.0113	0.0034	0.0267	-0.0849	0.0503	0.287
g__MD3-55	g__MD3-55	1.37263011136724	g__MD3-55	0.4816	brown	-0.123	-0.0498	-0.0239	-0.115	-0.0874	0.031	-0.0072	-0.0369	0.149	0.308
g__Menetus	g__Menetus	9.40826751042394	g__Menetus	0.7013	brown	-0.0904	0.134	-0.0342	-0.0223	-0.0251	-0.046	0.0117	-0.0578	0.011	0.287
g__Metarhizium	g__Metarhizium	4.68413101703933	g__Metarhizium	0.6006	brown	-0.0799	-0.3	0.0066	-0.272	-0.155	0.22	0.17	-0.147	0.146	-0.0097
g__Minibiotus	g__Minibiotus	1.7502969973562101	g__Minibiotus	0.5084	brown	-0.0821	0.0428	0.0037	0.551	0.512	-0.0858	0.12	0.24	-0.0254	0.287
g__Mucochytrium	g__Mucochytrium	4.0982815648810105	g__Mucochytrium	0.5888	brown	-0.106	-0.0298	-0.0488	-0.133	-0.0262	-0.0265	0.0317	-0.152	0.124	-0.187
g__Myrothecium	g__Myrothecium	5.3907945647268605	g__Myrothecium	0.6321	brown	-0.0084	0.227	0.0587	-0.0615	-0.0936	-0.0875	-0.208	0.0816	-0.171	0.156
g__Myxotrichum	g__Myxotrichum	0.135451917618438	g__Myxotrichum	0.3205	brown	0.198	-0.106	-0.0727	0.0362	-0.0607	0.171	-0.0813	-0.156	0.0612	-0.0084
g__Naegleria	g__Naegleria	0.129444675934341	g__Naegleria	0.3031	brown	-0.129	0.197	-0.0862	-0.137	-0.111	0.195	0.268	-0.0594	-0.108	-0.15
g__Niesslia	g__Niesslia	9.25983586664865	g__Niesslia	0.6902	brown	-0.152	0.108	-0.0321	-0.0324	-0.0113	0.0034	0.0267	-0.0849	0.0503	0.287
g__norank_f__Candidatus_Hepatincola	g__norank_f__Candidatus_Hepatincola	0.6175807753748249	g__norank_f__Candidatus_Hepatincola	0.4126	brown	-0.0183	0.169	0.0061	0.383	0.205	-0.374	-0.167	0.424	-0.0155	0.398
g__norank_f__Neisseriaceae	g__norank_f__Neisseriaceae	0.15222868167891598	g__norank_f__Neisseriaceae	0.3229	brown	-0.0845	0.222	-0.0527	0.0732	0.0743	0.0991	0.276	0.118	-0.203	-0.0949
g__norank_f__Simkaniaceae	g__norank_f__Simkaniaceae	0.24810760499225798	g__norank_f__Simkaniaceae	0.3258	brown	0.408	0.24	0.274	0.214	0.178	-0.0914	-0.0857	0.0212	-0.169	-0.171
g__norank_f__Synechococcaceae	g__norank_f__Synechococcaceae	0.310770670551909	g__norank_f__Synechococcaceae	0.3794	brown	0.243	0.492	-0.0591	0.385	0.328	-0.435	-0.206	0.331	-0.247	0.304
g__norank_o__Oligoflexales	g__norank_o__Oligoflexales	0.51026657073091	g__norank_o__Oligoflexales	0.4181	brown	0.0662	-0.166	-0.0878	-0.131	-0.0738	0.0882	0.0867	-0.0923	-0.0422	-0.228
g__norank_o__S-BQ2-57_soil_group	g__norank_o__S-BQ2-57_soil_group	4.517849172953571	g__norank_o__S-BQ2-57_soil_group	0.6124	brown	-0.0633	-0.175	-0.0343	-0.128	-0.0772	0.0965	0.0376	-0.132	0.16	-0.137
g__norank_o__Vampirovibrionales	g__norank_o__Vampirovibrionales	3.4872575673068704	g__norank_o__Vampirovibrionales	0.5741	brown	-0.0046	0.0342	-0.0269	0.0501	0.0547	0.0093	-0.173	0.2	-0.478	-0.0721
g__Odontella	g__Odontella	0.119820989717541	g__Odontella	0.314	brown	-0.19	-0.0419	-0.0576	-0.141	-0.142	0.174	0.244	-0.0972	0.0436	-0.048
g__Ohtaekwangia	g__Ohtaekwangia	2.7160082008466695	g__Ohtaekwangia	0.5486	brown	-0.0385	-0.12	-0.0457	-0.151	-0.0245	0.0761	-0.0605	-0.106	0.202	0.123
g__Olivibacter	g__Olivibacter	9.32723637327618	g__Olivibacter	0.6511	brown	-0.0084	0.227	0.0587	-0.0615	-0.0936	-0.0875	-0.208	0.0816	-0.171	0.156
g__Ophiostoma	g__Ophiostoma	0.872491580623904	g__Ophiostoma	0.4565	brown	-0.114	-0.0468	-0.0485	-0.0951	-0.0815	0.0019	0.0399	-0.133	0.0662	0.0719
g__Paenibacillus	g__Paenibacillus	0.21425540828245104	g__Paenibacillus	0.3274	brown	0.195	0.301	0.111	-0.0228	-0.0133	-0.158	0.0323	-0.0755	-0.144	-0.174
g__Pantoea	g__Pantoea	8.68306263209666	g__Pantoea	0.6841	brown	-0.0559	0.203	-0.0321	0.0152	-0.0942	0.211	0.199	-0.048	-0.109	-0.124
g__Parasegetibacter	g__Parasegetibacter	0.19256751673622102	g__Parasegetibacter	0.299	brown	-0.0997	0.15	-0.0197	-0.142	-0.137	0.052	0.0432	-0.111	-0.0248	-0.0973
g__Parengyodontium	g__Parengyodontium	0.7820098847875241	g__Parengyodontium	0.4184	brown	-0.144	0.0951	-0.0315	-0.0323	-0.0576	-0.272	-0.407	0.424	-0.306	-0.0704
g__Peyssonneliopsis	g__Peyssonneliopsis	33.492080840929106	g__Peyssonneliopsis	0.8545	brown										
g__Phrix	g__Phrix	1.83916354902533	g__Phrix	0.505	brown	0.237	0.0715	-0.0213	0.103	-0.0717	-0.324	-0.273	0.295	-0.0948	-0.033
g__Physa	g__Physa	0.449743065641298	g__Physa	0.4021	brown	-0.114	0.289	-0.0697	-0.0347	-0.0494	-0.155	-0.0032	0.12	-0.168	-0.0358
g__Placida	g__Placida	15.2039424913835	g__Placida	0.7558	brown	-0.0371	0.0141	-0.0422	0.0103	0.0278	-0.013	-0.131	0.144	-0.458	-0.134
g__Planocarina	g__Planocarina	37.1154660168446	g__Planocarina	0.8721	brown	0.184	0.0406	-0.0295	-0.0569	-0.0374	-0.0943	-0.0763	0.0113	-0.0693	-0.0721
g__Pleuractis	g__Pleuractis	2.9223898332409197	g__Pleuractis	0.5507	brown	0.0846	0.0633	-0.0465	0.405	0.478	-0.0111	0.12	0.111	0.02	0.123
g__Pleurocordyceps	g__Pleurocordyceps	0.9559919634751558	g__Pleurocordyceps	0.4597	brown	0.0269	0.0488	-0.075	0.0932	0.181	-0.0526	0.0546	0.0079	-0.115	0.108
g__Podila	g__Podila	7.36773352410804	g__Podila	0.6616	brown	-0.221	-0.0322	-0.0836	-0.187	-0.174	0.282	0.128	-0.0704	0.143	0.062
g__Pseudocercospora	g__Pseudocercospora	10.738294186373698	g__Pseudocercospora	0.6913	brown	0.13	0.0407	-0.0319	0.181	0.222	-0.0618	0.0482	0.0642	-0.0457	-0.0721
g__Pseudoxanthomonas	g__Pseudoxanthomonas	1.9050278160075802	g__Pseudoxanthomonas	0.5044	brown	-0.0852	0.247	-0.0562	-0.0116	-0.0014	0.053	0.109	-0.0847	-0.0333	-0.14
g__Ptilophora	g__Ptilophora	0.44626370407447596	g__Ptilophora	0.3789	brown	0.136	0.164	-0.0664	0.0129	0.0203	-0.234	0.0023	0.0925	-0.135	-0.082
