id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Leathesia	g__Leathesia	3.33087424919447	g__Leathesia	0.6332	greenyellow	-0.0568	-0.0103	-0.026	0.488	0.488	-0.0931	0.169	0.172	0.0193	0.133
g__Lewinella	g__Lewinella	0.208506178677895	g__Lewinella	0.3863	greenyellow	0.2	0.159	-0.0612	0.0151	0.0006	-0.138	0.049	-0.0445	-0.132	-0.139
g__Melampus	g__Melampus	4.14390824236699	g__Melampus	0.6486	greenyellow	-0.0904	0.166	0.0065	-0.0071	-0.0175	-0.184	-0.074	0.109	0.0487	0.352
g__Monodopsis	g__Monodopsis	10.3166321868296	g__Monodopsis	0.7578	greenyellow										
g__Moorebdellina	g__Moorebdellina	0.623098569443606	g__Moorebdellina	0.472	greenyellow	-0.108	-0.116	-0.0295	-0.154	-0.107	0.112	0.34	-0.152	0.257	0.196
g__Nemopsis	g__Nemopsis	1.1243557772156798	g__Nemopsis	0.527	greenyellow	0.238	-0.151	0.0611	0.113	-0.152	0.23	0.171	0.0319	-0.121	-0.243
g__norank_f__Balneolaceae	g__norank_f__Balneolaceae	8.90513403966315	g__norank_f__Balneolaceae	0.7214	greenyellow	0.13	0.0407	-0.0319	0.181	0.222	-0.0618	0.0482	0.0642	-0.0457	-0.0721
g__norank_o__Candidatus_Liptonbacteria	g__norank_o__Candidatus_Liptonbacteria	2.76607958760144	g__norank_o__Candidatus_Liptonbacteria	0.6063	greenyellow	0.275	0.0773	-0.0329	0.0227	0.0057	-0.201	-0.0662	0.0763	-0.0139	-0.0721
g__norank_o__Candidatus_Staskawiczbacteria	g__norank_o__Candidatus_Staskawiczbacteria	1.30202069586738	g__norank_o__Candidatus_Staskawiczbacteria	0.5192	greenyellow	0.217	0.0762	-0.0336	0.0018	0.0681	-0.152	-0.0796	0.0515	-0.0259	0.0258
g__norank_o__SZB7	g__norank_o__SZB7	9.053322123684561	g__norank_o__SZB7	0.7382	greenyellow	0.13	0.0407	-0.0319	0.181	0.222	-0.0618	0.0482	0.0642	-0.0457	-0.0721
g__norank_p__PAUC34f	g__norank_p__PAUC34f	0.31421227612788105	g__norank_p__PAUC34f	0.3678	greenyellow	-0.0046	0.0342	-0.0269	0.0501	0.0547	0.0093	-0.173	0.2	-0.478	-0.0721
g__Oscarella	g__Oscarella	16.2470244240725	g__Oscarella	0.822	greenyellow	-0.0615	-0.152	-0.0343	-0.116	-0.115	0.0295	-0.0215	-0.0993	0.135	-0.105
g__Peltigera	g__Peltigera	1.5125596260562102	g__Peltigera	0.5362	greenyellow	-0.0237	-0.175	-0.026	-0.0243	-0.101	0.0751	-0.0197	-0.148	0.0276	-0.163
g__Phorbas	g__Phorbas	8.31025599025421	g__Phorbas	0.7321	greenyellow	-0.0904	0.134	-0.0342	-0.0223	-0.0251	-0.046	0.0117	-0.0578	0.011	0.287
g__Plakinastrella	g__Plakinastrella	5.93975692509749	g__Plakinastrella	0.687	greenyellow	0.0678	0.149	-0.0398	-0.0366	-0.0398	-0.166	-0.0274	-0.0901	-0.012	0.0467
g__Polystrata	g__Polystrata	2.9949770277845498	g__Polystrata	0.6054	greenyellow	-0.231	0.0727	-0.0357	-0.0485	-0.0205	0.0494	0.103	-0.119	0.0359	0.41
g__Ptilota	g__Ptilota	6.67377502027874	g__Ptilota	0.6969	greenyellow	0.12	0.0981	-0.0271	-0.0294	-0.0316	-0.161	-0.0362	-0.071	-0.0188	-0.0916
g__Rhodopeltis	g__Rhodopeltis	1.72740999460688	g__Rhodopeltis	0.5583	greenyellow	-0.203	0.0338	-0.0169	-0.0689	-0.0034	0.0385	0.16	-0.078	0.0663	0.287
g__Ruminiclostridium	g__Ruminiclostridium	0.5490796872836621	g__Ruminiclostridium	0.4557	greenyellow	0.0301	-0.0287	0.55	-0.0764	0.0713	-0.0573	0.161	-0.104	0.115	-0.0031
g__Setoutiphycus	g__Setoutiphycus	8.816296448722289	g__Setoutiphycus	0.7269	greenyellow	0.185	0.0581	-0.0456	0.259	0.317	-0.0884	0.0688	0.0918	-0.0654	0.0136
g__Splachnidium	g__Splachnidium	8.58251470190816	g__Splachnidium	0.7316	greenyellow	-0.0459	-0.185	-0.0341	-0.112	-0.0933	0.199	0.108	-0.114	0.0479	-0.157
g__Sulfurimonas	g__Sulfurimonas	4.63472379779314	g__Sulfurimonas	0.6502	greenyellow	-0.0596	-0.184	-0.0329	-0.123	-0.0992	0.0833	0.0738	-0.137	0.12	-0.105
