id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Chonaphe	g__Chonaphe	0.801480038535425	g__Chonaphe	0.4607	pink	-0.142	-0.0978	-0.0457	-0.0771	-0.11	0.118	0.134	-0.196	0.116	0.203
g__Chondria	g__Chondria	0.583742742809057	g__Chondria	0.4403	pink	0.0204	-0.261	-0.0741	-0.106	-0.024	-0.0251	-0.0612	-0.0664	0.0976	-0.242
g__Cyphoderia	g__Cyphoderia	2.2006707133309904	g__Cyphoderia	0.5211	pink	0.16	0.0751	-0.0343	-0.019	0.131	-0.104	-0.093	0.0268	-0.038	0.0258
g__Dendronotus	g__Dendronotus	4.2744499380703695	g__Dendronotus	0.6291	pink	-0.144	0.193	-0.037	-0.0354	-0.0764	-0.155	0.0045	-0.104	-0.0243	0.0648
g__Discosporangium	g__Discosporangium	2.41911592410095	g__Discosporangium	0.5696	pink	-0.0559	0.203	-0.0321	0.0152	-0.0942	0.211	0.199	-0.048	-0.109	-0.124
g__Echinometra	g__Echinometra	3.8299390160757296	g__Echinometra	0.6065	pink	-0.166	0.142	-0.0429	-0.0475	-0.0154	-0.0473	0.0601	-0.103	0.0113	0.228
g__Galba	g__Galba	1.86946169325714	g__Galba	0.5505	pink	0.003	0.0195	-0.0491	0.0566	0.0743	-0.11	-0.0056	0.236	-0.287	-0.117
g__GWD2-49-16	g__GWD2-49-16	11.1784447351999	g__GWD2-49-16	0.7356	pink	0.275	0.0773	-0.0329	0.0227	0.0057	-0.201	-0.0662	0.0763	-0.0139	-0.0721
g__Halichondria	g__Halichondria	0.829582813623968	g__Halichondria	0.4573	pink	0.292	-0.0874	-0.0174	0.0916	-0.0227	0.133	-0.205	-0.0699	0.0034	-0.157
g__Halisarca	g__Halisarca	35.5600988091353	g__Halisarca	0.8959	pink	-0.0593	0.152	0.0027	-0.0191	-0.0876	-0.167	-0.0565	-0.0246	0.058	-0.0916
g__Hyalosphenia	g__Hyalosphenia	0.506776632247196	g__Hyalosphenia	0.4192	pink	-0.0904	0.134	-0.0342	-0.0223	-0.0251	-0.046	0.0117	-0.0578	0.011	0.287
g__Hyphomonas	g__Hyphomonas	2.99332432847706	g__Hyphomonas	0.5751	pink	0.258	0.0962	-0.049	0.0208	0.25	-0.179	-0.0197	0.0349	-0.0877	-0.0292
g__Iyengaria	g__Iyengaria	2.2114032497459997	g__Iyengaria	0.5528	pink	-0.0941	-0.275	-0.0565	-0.193	-0.166	0.155	0.0486	-0.181	0.187	-0.209
g__Lanmaoa	g__Lanmaoa	0.474326507479164	g__Lanmaoa	0.4276	pink	-0.215	-0.384	-0.0438	-0.205	-0.219	0.225	0.0305	-0.0969	0.326	0.0998
g__Lepidodermella	g__Lepidodermella	7.351834109669451	g__Lepidodermella	0.6884	pink	-0.0631	0.171	-0.0045	0.124	0.133	-0.185	-0.0169	0.141	0.0396	0.365
g__Lycogala	g__Lycogala	2.56137219067256	g__Lycogala	0.5267	pink	0.27	0.121	-0.0275	0.0601	-0.0983	0.0727	0.0236	-0.0627	-0.031	-0.0068
g__Methylomicrobium	g__Methylomicrobium	17.881104772523198	g__Methylomicrobium	0.7986	pink	0.255	0.154	-0.0119	0.198	0.0345	-0.0867	-0.199	0.0609	-0.0298	0.14
g__Mycedium	g__Mycedium	19.641370373629602	g__Mycedium	0.8098	pink	-0.135	0.211	-0.0488	-0.0639	-0.014	0.0173	0.138	-0.0262	-0.0762	-0.0237
g__Neonectria	g__Neonectria	17.3219748875437	g__Neonectria	0.7936	pink	0.275	0.0773	-0.0329	0.0227	0.0057	-0.201	-0.0662	0.0763	-0.0139	-0.0721
g__norank_c__CPR2	g__norank_c__CPR2	2.57154288621843	g__norank_c__CPR2	0.5759	pink	0.0928	0.0663	-0.0306	0.127	0.353	-0.016	0.0322	0.0468	-0.0231	0.156
g__norank_c__Sumerlaeia	g__norank_c__Sumerlaeia	1.3406180914057	g__norank_c__Sumerlaeia	0.4914	pink	0.208	0.174	-0.0679	0.0589	0.157	-0.199	-0.0564	0.0391	-0.0408	0.129
g__norank_f__Lenti-02	g__norank_f__Lenti-02	20.8183543878668	g__norank_f__Lenti-02	0.8198	pink	-0.0821	0.0428	0.0037	0.551	0.512	-0.0858	0.12	0.24	-0.0254	0.287
g__norank_f__ST-12K33	g__norank_f__ST-12K33	1.42934538090977	g__norank_f__ST-12K33	0.4641	pink	-0.0781	-0.181	-0.0174	-0.156	-0.105	0.14	0.36	-0.139	0.271	0.0911
g__norank_o__Ardenticatenales	g__norank_o__Ardenticatenales	2.1739477880678897	g__norank_o__Ardenticatenales	0.5363	pink	0.16	0.0751	-0.0343	-0.019	0.131	-0.104	-0.093	0.0268	-0.038	0.0258
g__norank_p__Firmicutes	g__norank_p__Firmicutes	2.94036417069749	g__norank_p__Firmicutes	0.5711	pink	0.27	0.121	-0.0275	0.0601	-0.0983	0.0727	0.0236	-0.0627	-0.031	-0.0068
g__Osmundea	g__Osmundea	1.08235369192728	g__Osmundea	0.4901	pink	0.0339	0.0597	-0.0201	0.523	0.524	-0.106	0.12	0.217	-0.0508	0.154
g__Pila	g__Pila	8.58276902298339	g__Pila	0.699	pink	-0.106	0.202	-0.0343	-0.0274	-0.0601	0.419	0.332	0.176	-0.184	-0.118
g__Placospongia	g__Placospongia	12.7312070241742	g__Placospongia	0.7533	pink	-0.0854	-0.179	-0.0337	-0.135	-0.0937	0.168	0.0439	-0.123	0.146	0.124
g__Pontisma	g__Pontisma	0.48471934379961895	g__Pontisma	0.4306	pink	0.311	-0.259	0.118	0.198	-0.104	0.19	0.089	0.0111	-0.0379	-0.0063
g__Pugetia	g__Pugetia	34.3746727280106	g__Pugetia	0.8961	pink	-0.11	-0.245	-0.0336	-0.065	-0.107	0.0267	-0.357	0.248	0.12	-0.0394
g__Pyramidula	g__Pyramidula	6.59252041500587	g__Pyramidula	0.6759	pink	0.004	0.0485	-0.0458	-0.111	-0.0882	-0.0715	0.16	-0.151	0.128	0.122
g__Rhodacmea	g__Rhodacmea	4.42075683258717	g__Rhodacmea	0.6248	pink	-0.0852	0.134	-0.0339	-0.0579	0.0405	-0.134	0.0068	-0.0797	0.0127	-0.124
g__Roseofilum_AO1-A	g__Roseofilum_AO1-A	3.39339803360229	g__Roseofilum_AO1-A	0.5815	pink										
g__Siphopteron	g__Siphopteron	0.6345379017778541	g__Siphopteron	0.4362	pink	-0.0237	-0.236	-0.0051	-0.263	-0.156	0.136	0.142	-0.165	0.127	-0.0471
g__Solmundella	g__Solmundella	19.719404715181998	g__Solmundella	0.8108	pink	-0.0084	0.227	0.0587	-0.0615	-0.0936	-0.0875	-0.208	0.0816	-0.171	0.156
g__Spumella	g__Spumella	34.293722534303	g__Spumella	0.8892	pink	-0.106	0.202	-0.0343	-0.0274	-0.0601	0.419	0.332	0.176	-0.184	-0.118
g__Stenogramma	g__Stenogramma	11.1987133200216	g__Stenogramma	0.7372	pink	-0.0459	-0.185	-0.0341	-0.112	-0.0933	0.199	0.108	-0.114	0.0479	-0.157
g__Succinispira	g__Succinispira	1.26012665848605	g__Succinispira	0.5052	pink	-0.11	-0.245	-0.0336	-0.065	-0.107	0.0267	-0.357	0.248	0.12	-0.0394
g__Synchaetomella	g__Synchaetomella	1.65182360425964	g__Synchaetomella	0.5384	pink	-0.0705	-0.183	-0.0339	-0.107	-0.086	0.0442	0.0426	-0.125	0.0783	-0.163
g__Tolumonas	g__Tolumonas	0.7170609937433109	g__Tolumonas	0.4413	pink	-0.193	-0.175	-0.0193	-0.0683	-0.0619	0.14	0.08	-0.212	0.198	0.0911
g__Tropicimonas	g__Tropicimonas	9.434051669485891	g__Tropicimonas	0.707	pink										
g__Waernia	g__Waernia	8.49442323844464	g__Waernia	0.7008	pink	-0.152	0.108	-0.0321	-0.0324	-0.0113	0.0034	0.0267	-0.0849	0.0503	0.287
g__Gleocapsa	g__Gleocapsa	66.276518033487	g__Gleocapsa	0.9954	pink										
g__Nostoc_PCC-7107	g__Nostoc_PCC-7107	66.276518033487	g__Nostoc_PCC-7107	0.9954	pink										
g__Oedogonium	g__Oedogonium	66.276518033487	g__Oedogonium	0.9954	pink										
g__Centroceras	g__Centroceras	66.276518033487	g__Centroceras	0.9954	pink										
g__Rhodoptilum	g__Rhodoptilum	0.7619610150924209	g__Rhodoptilum	0.4345	pink										
g__Hydrolithon	g__Hydrolithon	66.276518033487	g__Hydrolithon	0.9954	pink										
g__Dudresnaya	g__Dudresnaya	31.9511603914487	g__Dudresnaya	0.8813	pink										
g__Pseudochorda	g__Pseudochorda	23.1428792303077	g__Pseudochorda	0.8321	pink										
g__Gephyrocapsa	g__Gephyrocapsa	66.276518033487	g__Gephyrocapsa	0.9954	pink										
g__Thalassionema	g__Thalassionema	5.348757282276839	g__Thalassionema	0.6536	pink										
g__norank_f__ML635J-40_aquatic_group	g__norank_f__ML635J-40_aquatic_group	66.276518033487	g__norank_f__ML635J-40_aquatic_group	0.9954	pink										
g__DMER64	g__DMER64	31.9511603914487	g__DMER64	0.8813	pink										
g__Raineya	g__Raineya	66.276518033487	g__Raineya	0.9954	pink										
g__Spirosoma	g__Spirosoma	16.6608186442224	g__Spirosoma	0.7854	pink										
g__norank_f__Flavobacteriaceae	g__norank_f__Flavobacteriaceae	66.276518033487	g__norank_f__Flavobacteriaceae	0.9954	pink										
g__UTCFX1	g__UTCFX1	66.276518033487	g__UTCFX1	0.9954	pink										
g__HSB_OF53-F07	g__HSB_OF53-F07	16.8188304113837	g__HSB_OF53-F07	0.7916	pink										
g__Ktedonobacter	g__Ktedonobacter	66.276518033487	g__Ktedonobacter	0.9954	pink										
g__norank_c__P2-11E	g__norank_c__P2-11E	66.276518033487	g__norank_c__P2-11E	0.9954	pink										
