species	BB_1	BB_2	BB_3	BB_4	BD_1	BD_2	BD_3	BD_4	BN_1	BN_2	BN_3	BN_4	CS_1	CS_2	CS_3	CS_4	CT_1	CT_2	CT_3	CT_4	FD_1	FD_2	FD_3	FD_4	FJ_1	FJ_2	FJ_3	FJ_4	FL_1	FL_2	FL_3	FL_4	JTW_1	JTW_2	JTW_3	JTW_4	LH_1	LH_2	LH_3	LH_4	WS_1	WS_2	WS_3	WS_4	WZ_1	WZ_2	WZ_3	WZ_4	XZY_1	XZY_2	XZY_3	XZY_4	YJC_1	YJC_2	YJC_3	YJC_4	YW_1	YW_2	YW_3	YW_4	YY_1	YY_2	YY_3	YY_4	ZG_1	ZG_2	ZG_3	ZG_4	ZX_1	ZX_2	ZX_3	ZX_4
g__norank_o__B2M28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.700439718141092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__norank_o__Babeliales	3.169925001442312	0.0	1.584962500721156	5.700439718141092	6.087462841250339	0.0	4.321928094887363	6.700439718141092	0.0	3.700439718141092	4.087462841250339	6.022367813028454	0.0	0.0	4.954196310386875	5.672425341971495	0.0	0.0	2.321928094887362	5.20945336562895	0.0	0.0	6.977279923499917	5.087462841250339	3.700439718141092	0.0	2.584962500721156	5.044394119358453	3.700439718141092	0.0	0.0	5.754887502163468	0.0	0.0	3.169925001442312	5.727920454563199	0.0	0.0	4.857980995127572	6.169925001442312	0.0	0.0	4.906890595608519	5.754887502163468	8.784634845557521	0.0	4.807354922057604	4.087462841250339	5.357552004618084	4.247927513443585	5.0	6.357552004618084	5.491853096329675	4.700439718141092	4.392317422778761	5.392317422778761	5.20945336562895	5.044394119358453	6.149747119504682	6.066089190457772	8.909893083770042	0.0	4.523561956057013	5.426264754702098	6.9886846867721655	0.0	5.392317422778761	7.312882955284356	0.0	0.0	5.832890014164741	5.459431618637297
g__norank_o__Bacteroidetes_VC2.1_Bac22	0.0	0.0	0.0	0.0	0.0	0.0	1.584962500721156	4.643856189774724	0.0	0.0	0.0	3.169925001442312	0.0	0.0	0.0	3.4594316186372973	0.0	0.0	2.321928094887362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.584962500721156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9068905956085187	0.0	0.0	0.0	4.643856189774724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	4.584962500721156	0.0	0.0	0.0	0.0	5.285402218862249	0.0	0.0	5.584962500721156	0.0	0.0	0.0	0.0
g__norank_o__Blfdi19	2.584962500721156	0.0	0.0	4.0	0.0	0.0	4.459431618637297	5.807354922057604	0.0	0.0	0.0	6.768184324776926	0.0	0.0	0.0	5.78135971352466	0.0	0.0	0.0	5.954196310386875	0.0	0.0	0.0	4.459431618637297	0.0	0.0	0.0	3.584962500721156	0.0	0.0	0.0	4.643856189774724	0.0	0.0	0.0	6.714245517666122	5.044394119358453	0.0	4.087462841250339	6.491853096329675	0.0	0.0	0.0	3.169925001442312	6.22881869049588	0.0	3.169925001442312	3.0	5.044394119358453	0.0	0.0	3.807354922057604	4.643856189774724	0.0	4.906890595608519	2.807354922057604	0.0	0.0	0.0	4.0	5.857980995127572	0.0	2.0	0.0	6.491853096329675	0.0	5.0	3.584962500721156	0.0	0.0	0.0	0.0
g__norank_o__Bradymonadales	0.0	0.0	0.0	0.0	0.0	4.700439718141092	0.0	4.321928094887363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.584962500721156	0.0	4.459431618637297	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.4594316186372973	0.0	0.0	0.0	0.0	0.0	3.807354922057604	0.0	2.584962500721156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.584962500721156	0.0	0.0	0.0	0.0
g__norank_o__Caenarcaniphilales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.321928094887362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.700439718141092	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.584962500721156	0.0	0.0	0.0	0.0	4.087462841250339	0.0	0.0	0.0	3.4594316186372973	0.0	0.0	1.584962500721156	0.0	0.0	0.0	0.0	2.321928094887362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.247927513443585	3.584962500721156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__norank_o__Candidatus_Azambacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.584962500721156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4594316186372973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.584962500721156	0.0	0.0	0.0	0.0
g__norank_o__Candidatus_Collierbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.584962500721156	0.0
g__norank_o__Candidatus_Jorgensenbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.584962500721156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.584962500721156	0.0	2.0	0.0	1.584962500721156	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.700439718141092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.584962500721156	0.0
g__norank_o__Candidatus_Kaiserbacteria	0.0	0.0	0.0	0.0	0.0	0.0	2.321928094887362	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.700439718141092	0.0	0.0	0.0	2.584962500721156	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.321928094887362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.807354922057604	0.0	0.0	2.321928094887362	4.754887502163468	0.0	0.0	2.807354922057604	2.584962500721156	0.0	0.0	0.0	0.0	3.584962500721156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.584962500721156	3.321928094887362	5.754887502163468	0.0	2.807354922057604	1.584962500721156	0.0	0.0	1.584962500721156	0.0
